t,censored,totredeem,prevcat,prefood,pregas,prebank,preretail,preother,prebonus,baselen
151,1,1365,travel,1.445447922,0.690757275,3.013896942,0.578178883,0.279360533,1.903404236,1439
56,0,42438,merch,1.1852808,0.075532556,3.697223663,0.393802404,0.051000625,1.225952148,1549
33,0,4465,cert,0.266214132,0.088235259,3.552789688,0.082202077,0.003770739,0.207390547,1326
1015,0,3000,travel,1.358973503,0,3.324785233,0.08547008,0,0.760683537,117
1,0,4400,travel,0.166666627,0.2899158,7.619045258,0.035014004,0.028011203,3.029411316,714
157,0,1025,merch,0.186182618,0,2.961357117,0.017564401,0.138173223,0.245901585,854
85,0,9000,merch,0.598648548,0.002702702,8.068916321,0.026351348,0.010135129,0.533107758,1480
370,0,8880,travel,0.918478012,0,3.065216065,0.008152172,0.021739125,0.429347754,368
237,0,11120,travel,0.468844891,0.013677806,1.810790062,0.052431583,0.015957445,0.108662605,1316
295,1,700,merch,0.347319126,0.006993007,0,0.027195022,0.190365076,0.19968915,1287
290,0,2924,travel,0.024825439,1.009308815,5.394100189,0.058184624,0.200155139,0.656322479,1289
381,0,13425,merch,4.167789459,0.139826417,4.635486603,0.258437634,0.272902489,3.623914719,1037
296,1,4750,travel,0.601387501,0.366229534,5.558979034,0.012336157,0.022359282,0.444101572,1297
1459,1,1760,cert,0.081967175,0,0,0.049180299,0,0,122
471,0,1970,merch,1.961139679,0.041450769,0.178756475,0.215025902,0.163212419,1.567357063,386
82,0,23220,travel,16.32017517,0.019005835,0.538011551,0.075292349,0.358917952,15.22879791,1368
841,0,5600,travel,5.068626404,0.127450943,3.607841492,0,0.450980187,4.888885498,306
1,0,5600,travel,0.830807686,0.467171669,1.116161346,0.059343427,0.029040396,0.827020168,792
335,0,9455,travel,0.091097295,0.0289855,4.580741882,0.013457552,0.076604545,0.104554832,966
118,0,6720,cert,1.113993645,0.039851695,2.171453476,0.044485629,0.050973117,0.675625324,1079
782,0,7568,travel,0,0.055263132,7.38684082,0.278947353,0,0.039473683,380
491,0,30426,cert,9.995140076,0.98543644,8.327178955,0.128155232,0.671844482,9.465042114,1030
145,0,10324,travel,3.549741745,0.086956501,3.373617172,0,0.005158436,3.181282044,1357
318,0,1781,travel,0.736712933,0,0.100572348,0.121831536,0.221586227,0.380212545,1223
