No.,capital,labor,output
1,2.60656335,184,9.25075902
2,1.32323682,91,3.66430998
3,22.09369203,426,28.78151634
4,10.73785113,72,4.12464171
5,1.16136465,46,2.89014951
6,276.7967008,7642,480.140372
7,1.67895897,48,2.14945419
8,1.15665474,108,4.14001089
9,0.8800095,35,2.46055614
10,3.48731652,72,3.85121904
11,0.52651836,71,3.24562377
12,0.67004667,29,1.71812559
13,2.9548488,77,4.40302218
14,0.44273154,57,2.92361466
15,1.14252501,46,3.83634564
16,3.62439969,188,6.52669581
17,0.08998407,4,0.272679
18,7.32465372,222,3.47343468
19,3.6142362,180,3.70422027
20,0.38869152,61,2.11301436
21,0.1140294,13,2.23720725
22,3.88468419,58,4.66702503
23,1.72010871,88,4.37426694
24,2.52153708,16,2.66630484
25,0.97148091,86,3.52152534
26,3.68761164,74,3.7208289
27,5.79864288,93,6.33482895
28,6.44861046,41,3.45980073
29,7.01553489,268,14.45074755
30,1.86933849,141,7.92231651
31,0.18368649,13,0.52750992
32,3.91616622,71,8.72126598
33,4.05077049,65,7.47437928
34,2.14722318,38,1.93924347
35,5.73022524,144,7.89703173
36,1.412973,162,2.98533927
37,6.18212871,46,4.05200994
38,7.75201608,216,13.50380775
39,2.23324101,86,3.75131937
40,0.73474596,45,2.13259767
41,5.44887009,656,28.10799921
42,0.90554217,206,5.92581045
43,1.74464982,57,3.27066066
44,0.04610754,15,1.47197082
45,2.8730451,53,10.47112149
46,2.03220222,80,5.2354368
47,17.0597898,606,25.71511704
48,5.48283102,48,2.77735956
49,1.67548851,77,3.06367251
50,0.15170868,23,51.21580923
51,6.24955479,84,4.44739449
52,0.39315354,143,6.67890027
53,81.65769279,557,50.15136957
54,145.1286878,1567,206.5037729
55,7.25226984,63,4.90425576
56,196.5961054,1280,287.7926054
57,0.97941339,33,1.57112682
58,2.35892124,40,2.12962299
59,0.56568498,27,1.06047342
60,0.93057906,66,3.70174137
61,11.59951677,128,5.78748783
62,19.21692858,664,40.97943957
63,5.6345397,307,20.92389912
64,1.30067883,38,3.40650438
65,1.12095858,38,2.37032418
66,4.50986277,60,4.55225196
67,0.72160779,40,5.41837962
68,8.16871917,54,4.88417667
69,9.12904503,207,10.92847854
70,52.54747431,614,43.86760596
71,0.4040607,58,2.34925353
72,42.23475453,131,19.85301432
73,2.19928008,93,2.52897378
74,3.95533284,130,7.00809819
75,12.20957406,128,5.43945027
76,1.02923928,114,4.2364401
77,2.16680649,117,6.0088536
78,6.66625788,246,20.92836114
79,2.34875775,26,1.61921748
80,3.58672041,189,6.82490748
81,1.67995053,189,15.68226507
82,2.03567268,211,7.13799255
83,0.79622268,173,3.40303392
84,0.32547957,7,0.58278939
85,1.12368537,49,5.21089569
86,15.33596274,1319,18.58406541
87,2.4888156,187,9.81570033
88,6.18435972,123,11.63025513
89,2.04980241,289,13.87242018
90,0.42017355,22,0.94793136
91,2.90477502,75,3.21686853
92,9.21035295,182,11.34914787
93,0.42984126,101,4.09291179
94,0.49032642,38,3.56267508
95,1.05006204,86,3.40724805
96,1.33513554,105,4.46995248
97,5.70717147,123,6.50562516
98,7.80679977,25,3.19455843
99,2.6350707,87,3.31081884
100,6.53983398,46,5.56413894
101,1.04188167,28,2.18068833
102,2.04831507,46,3.29321865
103,34.40614044,602,37.29926463
104,2.17721787,22,4.52944608
105,2.21935917,177,7.59956373
106,12.10471659,155,14.16369093
107,39.95788488,152,17.8059387
108,0.98957688,102,5.43845871
109,33.53753388,130,12.73063884
110,0.49032642,6,0.53221983
111,7.05965931,110,4.94019981
112,32.55415425,442,41.40630615
113,5.22750432,148,9.28620729
114,1.33488765,42,1.63086831
115,0.72854871,94,9.02369178
116,2.77091442,176,8.70143478
117,0.98337963,85,3.26148873
118,8.80381335,118,19.3577301
119,1.87082583,12,1.1130261
120,2.87403666,177,10.03855344
121,0.70995696,41,1.7302722
122,1.95312531,138,5.14346961
123,10.66249257,390,15.87066147
124,2.24266083,48,2.49798753
125,0.96453999,92,7.0053714
126,4.734699,208,11.47606755
127,0.45562182,61,2.34974931
128,7.34869905,70,4.71114945
129,450.4887618,3443,329.5335631
130,23.00766246,28,1.29720837
131,6.31797243,294,15.47726004
132,1.95957045,36,2.67250209
133,0.64798446,51,3.23669973
134,1.12988262,148,5.91515118
135,1.03246185,88,4.35939354
136,5.0371248,200,10.42922808
137,2.09838885,35,1.82347884
138,0.87529959,110,4.43698311
139,1.38099519,38,1.40157006
140,14.76036216,104,7.20591441
141,0.5329635,173,3.61522776
142,22.38050076,440,24.50367861
143,3.41418897,47,3.36188418
144,0.82002012,43,2.12491308
145,13.42225194,349,30.64118712
146,0.53221983,48,2.54459085
147,0.54139176,26,0.66756777
148,0.6370773,142,3.78230562
149,5.25204543,266,30.97038504
150,5.47539432,45,3.42460035
151,0.02280588,9,0.60113325
152,1.08774132,45,1.73250321
153,0.78481974,49,2.19952797
154,0.77267313,219,7.39654182
155,11.36699595,69,6.33334161
156,17.17902489,923,48.45208362
