"","Day","Time","TrafficControl","Road","Light","Weather","Weight","Count"
"1","Weekday","Night","No Control","Dry","Daylight","Clear",5,444
"2","Weekend","Night","No Control","Dry","Daylight","Clear",2,246
"3","Weekday","Morning","No Control","Dry","Daylight","Clear",5,4147
"4","Weekend","Morning","No Control","Dry","Daylight","Clear",2,951
"5","Weekday","Midday","No Control","Dry","Daylight","Clear",5,5693
"6","Weekend","Midday","No Control","Dry","Daylight","Clear",2,2193
"7","Weekday","Evening","No Control","Dry","Daylight","Clear",5,3981
"8","Weekend","Evening","No Control","Dry","Daylight","Clear",2,1210
"9","Weekday","Night","Control","Dry","Daylight","Clear",5,239
"10","Weekend","Night","Control","Dry","Daylight","Clear",2,121
"11","Weekday","Morning","Control","Dry","Daylight","Clear",5,4651
"12","Weekend","Morning","Control","Dry","Daylight","Clear",2,873
"13","Weekday","Midday","Control","Dry","Daylight","Clear",5,5732
"14","Weekend","Midday","Control","Dry","Daylight","Clear",2,2018
"15","Weekday","Evening","Control","Dry","Daylight","Clear",5,3786
"16","Weekend","Evening","Control","Dry","Daylight","Clear",2,1058
"17","Weekday","Night","Unknown","Dry","Daylight","Clear",5,6
"18","Weekend","Night","Unknown","Dry","Daylight","Clear",2,11
"19","Weekday","Morning","Unknown","Dry","Daylight","Clear",5,71
"20","Weekend","Morning","Unknown","Dry","Daylight","Clear",2,18
"21","Weekday","Midday","Unknown","Dry","Daylight","Clear",5,175
"22","Weekend","Midday","Unknown","Dry","Daylight","Clear",2,66
"23","Weekday","Evening","Unknown","Dry","Daylight","Clear",5,119
"24","Weekend","Evening","Unknown","Dry","Daylight","Clear",2,46
"25","Weekday","Night","No Control","Wet","Daylight","Clear",5,49
"26","Weekend","Night","No Control","Wet","Daylight","Clear",2,11
"27","Weekday","Morning","No Control","Wet","Daylight","Clear",5,764
"28","Weekend","Morning","No Control","Wet","Daylight","Clear",2,119
"29","Weekday","Midday","No Control","Wet","Daylight","Clear",5,607
"30","Weekend","Midday","No Control","Wet","Daylight","Clear",2,194
"31","Weekday","Evening","No Control","Wet","Daylight","Clear",5,191
"32","Weekend","Evening","No Control","Wet","Daylight","Clear",2,55
"33","Weekday","Night","Control","Wet","Daylight","Clear",5,22
"34","Weekend","Night","Control","Wet","Daylight","Clear",2,9
"35","Weekday","Morning","Control","Wet","Daylight","Clear",5,767
"36","Weekend","Morning","Control","Wet","Daylight","Clear",2,111
"37","Weekday","Midday","Control","Wet","Daylight","Clear",5,494
"38","Weekend","Midday","Control","Wet","Daylight","Clear",2,143
"39","Weekday","Evening","Control","Wet","Daylight","Clear",5,152
"40","Weekend","Evening","Control","Wet","Daylight","Clear",2,50
"41","Weekday","Night","Unknown","Wet","Daylight","Clear",5,3
"42","Weekend","Night","Unknown","Wet","Daylight","Clear",2,0
"43","Weekday","Morning","Unknown","Wet","Daylight","Clear",5,22
"44","Weekend","Morning","Unknown","Wet","Daylight","Clear",2,3
"45","Weekday","Midday","Unknown","Wet","Daylight","Clear",5,17
"46","Weekend","Midday","Unknown","Wet","Daylight","Clear",2,2
"47","Weekday","Evening","Unknown","Wet","Daylight","Clear",5,5
"48","Weekend","Evening","Unknown","Wet","Daylight","Clear",2,1
"49","Weekday","Night","No Control","Other","Daylight","Clear",5,22
"50","Weekend","Night","No Control","Other","Daylight","Clear",2,10
"51","Weekday","Morning","No Control","Other","Daylight","Clear",5,157
"52","Weekend","Morning","No Control","Other","Daylight","Clear",2,40
"53","Weekday","Midday","No Control","Other","Daylight","Clear",5,280
"54","Weekend","Midday","No Control","Other","Daylight","Clear",2,101
"55","Weekday","Evening","No Control","Other","Daylight","Clear",5,172
"56","Weekend","Evening","No Control","Other","Daylight","Clear",2,46
"57","Weekday","Night","Control","Other","Daylight","Clear",5,7
"58","Weekend","Night","Control","Other","Daylight","Clear",2,7
"59","Weekday","Morning","Control","Other","Daylight","Clear",5,99
"60","Weekend","Morning","Control","Other","Daylight","Clear",2,16
"61","Weekday","Midday","Control","Other","Daylight","Clear",5,201
"62","Weekend","Midday","Control","Other","Daylight","Clear",2,73
"63","Weekday","Evening","Control","Other","Daylight","Clear",5,114
"64","Weekend","Evening","Control","Other","Daylight","Clear",2,28
"65","Weekday","Night","Unknown","Other","Daylight","Clear",5,1
"66","Weekend","Night","Unknown","Other","Daylight","Clear",2,1
"67","Weekday","Morning","Unknown","Other","Daylight","Clear",5,11
"68","Weekend","Morning","Unknown","Other","Daylight","Clear",2,5
"69","Weekday","Midday","Unknown","Other","Daylight","Clear",5,39
"70","Weekend","Midday","Unknown","Other","Daylight","Clear",2,19
"71","Weekday","Evening","Unknown","Other","Daylight","Clear",5,30
"72","Weekend","Evening","Unknown","Other","Daylight","Clear",2,2
"73","Weekday","Night","No Control","Dry","Dawn/Dusk","Clear",5,96
"74","Weekend","Night","No Control","Dry","Dawn/Dusk","Clear",2,107
"75","Weekday","Morning","No Control","Dry","Dawn/Dusk","Clear",5,109
"76","Weekend","Morning","No Control","Dry","Dawn/Dusk","Clear",2,51
"77","Weekday","Midday","No Control","Dry","Dawn/Dusk","Clear",5,34
"78","Weekend","Midday","No Control","Dry","Dawn/Dusk","Clear",2,18
"79","Weekday","Evening","No Control","Dry","Dawn/Dusk","Clear",5,480
"80","Weekend","Evening","No Control","Dry","Dawn/Dusk","Clear",2,155
"81","Weekday","Night","Control","Dry","Dawn/Dusk","Clear",5,65
"82","Weekend","Night","Control","Dry","Dawn/Dusk","Clear",2,56
"83","Weekday","Morning","Control","Dry","Dawn/Dusk","Clear",5,101
"84","Weekend","Morning","Control","Dry","Dawn/Dusk","Clear",2,25
"85","Weekday","Midday","Control","Dry","Dawn/Dusk","Clear",5,16
"86","Weekend","Midday","Control","Dry","Dawn/Dusk","Clear",2,6
"87","Weekday","Evening","Control","Dry","Dawn/Dusk","Clear",5,405
"88","Weekend","Evening","Control","Dry","Dawn/Dusk","Clear",2,141
"89","Weekday","Night","Unknown","Dry","Dawn/Dusk","Clear",5,5
"90","Weekend","Night","Unknown","Dry","Dawn/Dusk","Clear",2,7
"91","Weekday","Morning","Unknown","Dry","Dawn/Dusk","Clear",5,2
"92","Weekend","Morning","Unknown","Dry","Dawn/Dusk","Clear",2,3
"93","Weekday","Midday","Unknown","Dry","Dawn/Dusk","Clear",5,1
"94","Weekend","Midday","Unknown","Dry","Dawn/Dusk","Clear",2,1
"95","Weekday","Evening","Unknown","Dry","Dawn/Dusk","Clear",5,26
"96","Weekend","Evening","Unknown","Dry","Dawn/Dusk","Clear",2,3
"97","Weekday","Night","No Control","Wet","Dawn/Dusk","Clear",5,14
"98","Weekend","Night","No Control","Wet","Dawn/Dusk","Clear",2,6
"99","Weekday","Morning","No Control","Wet","Dawn/Dusk","Clear",5,22
"100","Weekend","Morning","No Control","Wet","Dawn/Dusk","Clear",2,7
"101","Weekday","Midday","No Control","Wet","Dawn/Dusk","Clear",5,2
"102","Weekend","Midday","No Control","Wet","Dawn/Dusk","Clear",2,3
"103","Weekday","Evening","No Control","Wet","Dawn/Dusk","Clear",5,58
"104","Weekend","Evening","No Control","Wet","Dawn/Dusk","Clear",2,12
"105","Weekday","Night","Control","Wet","Dawn/Dusk","Clear",5,12
"106","Weekend","Night","Control","Wet","Dawn/Dusk","Clear",2,7
