Price,Mileage,Make,Type,Cylinder,Liter,Doors,Cruise,Sound,Leather
17314.10313,8221,Buick,Sedan,6,3.1,4,1,1,1
16218.84786,13196,Buick,Sedan,6,3.1,4,1,1,0
16339.17032,19832,Buick,Sedan,6,3.1,4,1,0,1
15230.00339,22576,Buick,Sedan,6,3.1,4,1,1,0
14862.09387,24021,Buick,Sedan,6,3.1,4,1,0,1
21335.85248,10237,Buick,Sedan,6,3.6,4,1,0,0
20512.09409,16633,Buick,Sedan,6,3.6,4,1,1,0
19774.24907,23359,Buick,Sedan,6,3.6,4,1,1,1
19105.13012,24008,Buick,Sedan,6,3.6,4,1,0,0
17808.199,32896,Buick,Sedan,6,3.6,4,1,1,0
22358.87768,8970,Buick,Sedan,6,3.6,4,1,1,0
22926.09037,14363,Buick,Sedan,6,3.6,4,1,1,1
21273.06171,18908,Buick,Sedan,6,3.6,4,1,0,0
21183.12359,21394,Buick,Sedan,6,3.6,4,1,0,0
21058.13958,24469,Buick,Sedan,6,3.6,4,1,1,1
23447.68656,15755,Buick,Sedan,6,3.8,4,1,1,0
23016.00801,18147,Buick,Sedan,6,3.8,4,1,1,1
22625.07357,23612,Buick,Sedan,6,3.8,4,1,0,1
21341.25721,25212,Buick,Sedan,6,3.8,4,1,1,1
20986.01602,27096,Buick,Sedan,6,3.8,4,1,0,0
20698.07708,2992,Buick,Sedan,6,3.8,4,1,0,1
18145.12649,18339,Buick,Sedan,6,3.8,4,1,1,0
19027.86231,21797,Buick,Sedan,6,3.8,4,1,0,1
17750.88457,25040,Buick,Sedan,6,3.8,4,1,1,0
17394.0214,25464,Buick,Sedan,6,3.8,4,1,1,0
21908.36662,17353,Buick,Sedan,6,3.8,4,1,0,0
21646.11692,19562,Buick,Sedan,6,3.8,4,1,1,1
20952.2178,20158,Buick,Sedan,6,3.8,4,1,1,0
19981.12791,24323,Buick,Sedan,6,3.8,4,1,1,0
19191.98962,29187,Buick,Sedan,6,3.8,4,1,1,1
